suppress	kkt. 1 menindas, menekan (an outbreak). 2 mendiamkan, menahan (the bad news). 3 membereder, memberangus (the news, press). 4 menyembunyikan (a smile, amusement). 5 memberangus (a newspaper). 6 mengganyang (racism). -suppressed ks. yang ditekan-tekan.
suppression	kb. penindasan, penindihan. s. of free speech penindasan kemerdekaan berbicara.
suppressive	ks. yang bersifat menindas. s. measures tindakan penindasan.
suppressor	kb. penindas.
suppurate	kki. bernanah.
supranational	ks. melampaui batas-batas negara.
supremacy	kb. supremasi, keunggulan.
supreme	ks. tertinggi. s. commander panglima tertinggi. -supremely kk. amat, sangat. s. happy bahagia sekali.
supt.	[superintendent] 1 pengawas. 2 inspektur, komisaris.
surcharge	kb. 1 biaya tambahan (for services). 2 tambahan ekstra (on a stamp). -kkt. menambah harga (a stamp).
sure	kb. for s. (dengan) pasti. -ks. 1 pasti. 2 yakin. 3 yang selalu mengenai (for aim). kk. 1 benar-benar, sungguh-sungguh. 2 tentu (saja). sure-footed ks. berkaki cekatan. -surely kk. tentu saja.
surename	kb. nama keluarga.
sureness	kb. ketentuan, kepastian.
surety	kb. (j. -ties) jaminan, penanggung.
surf	kb. ombak (besar) yang memecah. -kki. menaiki ombak dengan papan luncur. -surfing kb. olahraga menaiki ombak dengan papan luncur.
surface	kb. 1 permukaan (of the water). 2 luaran. -ks. dangkal (dari luar). -kkt. meratakan/melicinkan permukaan -kki. muncul dipermukaan.
surfboard	kb. papan luncur (di laut).
surfeit	kb. kekenyangan, kejenuhan, kejemuan. -kkt. to. s. s.o. with menyediakan pada seseorang (sehingga membosankan).
surge	kb. 1 gelombang, gelora (of a crowd of indignation). 2 sentakan. -kki. 1 melanda (of a wave). 2 menggelora. -surging ks. yang (bergerak) bergelombang.
surgeon	kb. ahli bedah. s. general kepala jawatan kesehatan.
surgery	kb. (j. -ries) 1 pembedahan. to undergo s. menjalani pembedahan. 2 med.: ilmu bedah. 3 operasi. oral s. operasi mulut.
surgical	ks. yang berkaitan dengan pembedahan. s. dressing pembalut/perban operasi.
surliness	kb. kebengisan, kemasaman.
surly	ks. merengut, memberengut, bermuka masam.
surmise	kb. dugaan, sangkaan. -kkt., kki. menduga, mengira.
surmount	kkt. 1 mengatasi (on obstacle). 2 berada diatas. mengatapi (the roof of a building). 3 melebihi.
surpass	kkt. melebihi, melampaui, mengungguli. to s. one expectations melebihi dari apa yang kita harapkan. -surpassing ks. jauh melebihi yang lain-lain.
surplice	kb. baju jubah.
surplus	kb. kelebihan. s. goods bahan-bahan kelebihan. s. crop of wheat panen gandum yang berlebihan.
surprise	kb. 1 keheranan. 2 sesuatu yang tak diberitahu kepada orang lain. -kkt. 1 mengagetkan, mengherankan. 2 menterkejutkan. -surprising ks. yang mengherankan. -surprisingly kk. (dengan) sangat mengherankan, heran benar.
surrealism	kb. surrealisme.
surrender	kb. penyerahan. -kkt. 1 menyerahkan (a town) (to kepada). 2 melepaskan. -kki. menyerah.
surreptitious	ks. dengan sembunyi-sembunyi, curi-curi. s. meetings pertemuan-pertemuan rahasia. -surreptitiously kk. dengan diam-diam/rahasia.
surrogate	kb. wakil, pengganti, wali.
surround	kkt. 1 mengepung (the enemy). 2 mengelilingi. 3 melingkungi. -surrounding ks. (yang ada) disekeliling. -surroundings kb., j. keadaan sekitar/sekeliling.
surtax	kb. pajak tambahan.
surveillance	kb. pengawasan, penjagaan, pengamat-amatan. to be under s. berada dibawah pengawasan.
survey	kb. 1 penelitian, peninjauan. 2 penyelidikan. 3 pemeriksaan. -kkt. 1 mengukur (land). 2 memeriksa, meninjau (the situation). 3 melihat, memandang. 4 melihat-lihat (a library collection). -surveying kb. pengukuran tanah.
surveyor	kb. pengukur (tanah), menteri ukur.
survival	kb. 1 kelangsungan hidup. 2 peninggalan (from an older period). 3 sisa (of a tradition).
