nonius	(tech.) vernier.
nonok	(jakarta, vulg.) vagina.
nonpribumi	of foreign descent, nonnative (esp. referring to ethnic chinese).
nonsen	nonsene, ridiculous.
nonton	see tonton.
nonya	see nyonya.
noot	/not/ see not.
nopember	november.
nopol	[nomor polisi] vehicle registration number.
nora	/norak/ (jakarta) tacky, in bad taste, vulgar, lower than normal.
norit	general term for carbon-based medicine for stomach problems.
norma	norm, standard.
normal	normal.
normalisasi	normalization.
norotos	sound of firecrackers.
norwegia	norway.
nostalgi	/nostalgia/ nostalgia.
nostalgis	nostalgic.
not	musical note.
nota	1 note. 2 statement of account, bill. 3 memorandum.
nota-bene	nota bene.
notariat	office of notary.
notariil	notarial.
notaris	notary public.
notasi	notation.
notes	small notebook, notepad.
notifikasi	notification.
notilen	minute, notes (of a meeting).
notok	1. (java) to the very end. 2. see tutuk.
notulen	see notilen.
notulis	recorder of the minutes of a meeting.
novel	novel.
novela	novella.
novelis	novelist.
novis	novice.
novisiat	novitiate.
nr.	[nomor] number.
nri	[negara republik indonesia] republic of indonesia.
nrimo	see nerimo.
nrp	[nomer registrasi pokok] soldier's registration number.
ntar	(coll.) see sebentar.
ntb	[nusa tenggara barat] western lesser sundas.
ntr	[nikah, talak, rujuk] be married, divorced, and recorciled.
ntt	[nusa tenggara timur] east lesser sundas.
nu	[nahdlatul ulama] association of muslim scholars, a muslim political party of the 1970s.
nuansa	nuance.
nubuat	(rel., islam) prophecy, divine revelation.
nudis	nudist.
nudisme	nudism.
nuduh	see tuduh.
nuftah	(biol.) germ, sperm.
nugat	nougat.
nugini	see papua nugini.
nuh	(bib.) noah.
nujum	fortune-telling, esp. with stars.
nukhter	objective, balanced (of views, etc.).
nukil	1 quotation, quote. 2 excerpt.
nuklir	(phys.) nuchlear.
nul	see nol.
numpang	see tumpang.
numplek	1 pour out, empty all at o. time. 2 be splled out, be in a huge crowd in a place.
nun	(lit.) younder.
nunak-nunuk	(coll.) 1slow in doing s.t. 2 snoop around.
nuntius	papal nuncio.
nunut	(java) ride along with.
nur	(lit.) light, ray of light.
nuraga	sympathy.
nurani	1 lustrous, illuminated. 2 pure. 3 inner.
nurbisa	(lit.) antidote, esp. charm or incantation against venom.
nuri	k.o. parrot.
nurmala	see nirmala.
nus	k.o. flat-headed squid.
nusa	island, esp. in island names.
nusakambangan	a penal island off the s. coast of java.
nusantara	1 archipelago. 2 the indonesian archipelago.
nusra	[nusa tenggara] the lesser sundas.
nusrabar	[nusa tenggara barat] western lesser sundas.
nusrateng	[nusa tenggara tengah] central lesser sundas.
nusratim	[nusa tenggara timur] east lesser sundas.
nusteng	[nusa tenggara] the lesser sundas.
nusus	/nusyur/ (islam) disobedient (of wives, esp. with regard to granting of conjugal rights).
nutrisi	nutrition.
nutrisionis	nutritionist.
nuzulul-qur'an	(islam) day commemorating descent of the koran.
nv	[naamloze vennootschap] inc., ltd.
ny-	see also entries with s-, c-.
ny.	[nyonya] mrs.
nya	see nyonya.
nyabun	see sabun 1.
nyadran	see sadran.
nyah	1 see enyah. 2. see nyonya.
nyaho	(jakarta) 1 know, understand. 2 find out the hard way.
nyai	1 term of reference and address for concubine of european or china in colonial period. 2 (java) respectful term of address to older woman.
nyak	1. (jakarta) term of address and reference for o.'s mother. 2. see nyonya.
nyala	flame.
nyalang	clear (of vision).
nyalangwadi	(java) arousing suspicion, having s.t. secret about it.
nyale	see salai.
nyali	1 gall, bile. 2 guts, daring o. shows in a crisis situation.
nyaman	pleasant, comfortable.
nyambi	see sambi.
nyamikan	/nyamii'an/ 1 (java) sweet anacks, candy. 2 (coll.) mistress.
nyampang	in case, just in case, by chace.1 supposing that, if 2 (lit.) although.
nyampoh	k.o. tree.
nyamuk	mosquito. nyamuk-pers newspaper reporter.
nyana	expect, presume, think.
nyandu	see candu.
nyang	(coll.) see yang 1.
nyangkut	nyangkut
nyanyah	(java) me-nyanyah chew.
nyanyi	sing.
nyap-nyap	(jakarta) angry.
nyaring	1 high-pitched, piercing. 2 (ling.) sonorant.
nyaris	nearly (of s.t. unpleasant).
nyaru	disguised.
nyasar	see sasar.
nyata	1 obvious, evident. 2 real, tangible.
nyatut	see catut.
nyawa	life-sustaining principle, soul.
nyawang	(java) look.
nyekar	see sekar.
nyelang	see nyalang 1, selang 1.
nyelekit	(java) offensive, tending to hurt o.'s feeling.
nyelonong	see selonong.
nyemek-nyemek	become soggy.
nyemplak	go to a prostitute.
nyengir	turn up o.'s nose, make a wry face (due to s.t. distasteful).
nyengir-nyengir	see cengir.
nyeni	see seni 1.
nyentrik	1 eccentric, act in such a way that o. stands out as different. 2 (coll.) stick out, be different from every o. else.
nyenyai	loosely woven.
nyenyak	be sound (of sleep).
nyenyeh	(java) suppurating, not healing well (of wound).
nyenyep	very quiet.
nyepi	1. last day of balinese calendar, when no work is done. 2. see sepi.
nyepor	see sepur.
nyepret	see cepret.
nyepur	(coll.) go by train.
nyeri	painful, sharp (pain).
nyerimpung	see serimpung.
nyerocos	see crocos.
nyetek	see setek.
nyi	(java) respectful title for women.
nyilu	see ngilu.
nyinyir	talkative, fond of chatting.
nyiplak	see ciplak 1.
nyiru	k.o. flat basket.
nyiur	(lit.) coconut.
nylentik	see slentik.
nylon	see nilon.
nyok	(jakarta) see ayo.
nyolnyolan	(coll.) unladylike (of coarse, mannish behavior).
nyolok	see colok 2.
nyolong	see colong.
nyolot	be blazing with anger.
nyong	1 (ambon) young man. 2 (ambon) polite term of address for males younger than speaker. 3 (jakarta) term of address among intimate male friends.
nyontek	cheat on exams.
nyonya	1 mrs. (esp. of non-indonesian, i.e. china, foreigners). 2 lady. 3 (coll.) wife. 4 term of address (esp. as nya or nyah) for china and western women.
nyora	(e. indonesia) term of polite address for certain women of high status (e.g. minister's wife, etc.).
nyrempet	see serempet.
nyruput	sip noisily, slurp.
nyungsep	fall or slip down in mud headfirst.
nyureng	see cureng.
nyut	sensation of stabbing pain.
nyutnyut	(java) be soggy (of s.t. that was crisp.).
o	1. the 15th letter of the alphabet. 2. 1) oh, interjection expressing surprise. 2) oh that, interjection expressing perception or remembering. 3) interjection expressing strong emotional feeling. 3. (lit.) oh, vocative marker.
o.	[otomat] (tel.) dial telephone.
oase	oasis.
obah	see ubah.
oban	see uban.
obar	see kobar.
obat	1 medicine, potion. 2 toiletry. 3 chemical preparation (e.g. cleaner, repellent, etc.). 4 gunpowder.
obeng	screwdriver. obeng-belimbing/bintang/kembang philips screwdriver.
oberal	see obral.
obituari	obituary.
oblak	1 (java, jakarta) spacious. 2 loose, not firm.
oblek	(jakarta) tremble.
obligasi	(fin.) debenture, bond.
oblok-oblok	1 dish consisting of leftovers or vegetables mixed with spices. 2 (coll.) offspring of an interethnic marriage.
oblong	see kaos 1.
obor	1 torch. 2 (lit.) guide.
obrak-abrik	1 destroy, ruin. 2 upset, tip over, turn upside down.
