glamorous	ks. sangat menarik dan mempesonakan.
grapple	kki. 1 bergulat, memegang erat-erat. to g. with a thief bergulat dengan pencuri. 2 berjuang, menghadapi. grappling hook/iron jepitan/penggenggam besi.
grasp	kb. genggaman. -kkt. 1 merenggut. 2 memegang. 3 menyambar, merebut. 4 mengerti ,memahami. -grasping ks. tamak, loba.
grass	kb. 1 rumput. a) menghalaukan ternak ke padang rumput. b) mempensiunkan, memberhentikan. 2 sl.: mariyuana, ganja. g. widow janda, seorang wanita yang sudah diceraikan. g. widower seorang lelaki yang sudah bercerai, duda.
grasshopper	kb. belalang. inf.: kneehigh to a g. amat pendek.
grassland	kb. padang rumput.
grassy	ks. yang ditutup/penuh dengan rumput. grassy-green ks. hijau rumput.
grate	kb. salaian, garangan, panggangan. -kkt. memarut (coconut, cheese). -kki. berciut. grated cheese keju parutan.-grating kb. kisi, jeruji. ks. mengganggu, menjengkelkan.
grateful	ks. berterima kasih.
grater	kb. parutan. cheese g. parutan keju.
gratification	kb. kepuasan, kegembiraan.
gratify	kkt. (gratified) 1 memberi kebahagiaan/kepuasan, memuaskan. 2 memenuhi. -gratified ks. puas, bahagia, senang. -gratifying ks. memuaskan.
gratin	kb. keju parutan. potatoes au g. kentang yang dimasak dengan diberi parutan keju diatasnya.
gratis	kk. dengan percuma, cuma-cuma, perdeo, gratis. the job was done g. pekerjaan itu gratis.
gratitude	kb. terimakasih. to express g. to bersyukur kepada.
gratuitous	ks. serampangan, yang tidak beralasan. g. assumption dugaan yang tidak beralasan. g. insult penghinaan yang tidak pada tempatnya.
gratuity	kb. (j. -ties) persen.
grave	grave , kb. kuburan ,g.robber :perampok kuburan.to have a watery g .terkubur di dlm air.
gravedigger	kb. penggali kuburan.
gravel	kb. (batu) kerikil. g. pit tambang batu kerikil.
graven	ks. g. image patung berhala.
graveside	kb. sisi kuburan.
gravestone	kb. (batu) nisan.
graveyard	kb. makam, pekuburan, pusara. car g. timbunan mobil-mobil tua.
graving	ks. g. dock dok galian.
gravitate	kki. 1 mengendap. to g. to the bottom mengendap ke dasar. 2 condong, cenderung. he is gravitating towards chemistry ia condong pada ilmu kimia.
gravitation	kb. 1 gravitasi. 2 kecenderungan, kecondongan.
gravitational	ks. mengenai daya tarik bumi. g. pull daya-tarik bumi.
gravity	kb. (j. -ties) 1 phys.: gaya berat. 2 kegawatan (of a situation).
gravy	kb. (j. -ies) 1 kuah daging, saus. g. boat mangkuk kuah. 2 sl.: keuntungan yang mudah didapat. sl.: to ride the g. train menikmati kekayaan dan kemewahan tanpa bersusah payah.
gray	kb. (warna) abu-abu, kelabu. -ks. 1 abu-abu, kelabu. g. suit stelan abu-abu. 2 mendung. g. day hari mendung. -kki. beruban, menguban. gray-haired, gray headed ks. beruban. inf.: g. matter otak kecerdasan.
grayish	ks. keabu-abuan.
graze	kkt. 1 menggembalakan / mengangon ternak (cattle). 2 menyerempet. 3 menyentuh. -kki. makan rumput. grazing animal angonan, ternak yang sedang makan rumput. g. land tanah penggembalaan.
grease	kb. 1 lemak, lumas, minyak semir. 2 vet, gemuk. -kkt. 1 menggemuki, melumas, meminyaki. 2 memulas. g. gun pistol gemuk, alat penyemprot gemuk
greasy	ks. 1 berminyak. g. food makanan yang berminyak. 2 yang bermanis mulut. his g. way caranya yang bermanis mulut. sl.: g. spoon rumah makan murah dan kotor.
