reben	o.-way glass.
ronsen	x-ray.
ronta	struggle to get loose.
rontak	see berontak.
rontal	see lontar 1.
rontgen	see ronsen.
rontok	/rontog/ drop off, fall off, shed.
ronyeh	grumble.
ronyok	crumpled up.
room	see rom.
roos	see ros 1.
ropak-rapik	in disorder, chaotic.
ropel	see rofel.
rorod	remove husk by shaking.
rorompok	(sunda) house, in polite, self-deprecating reference to o.'s own house.
ros	1. rose. 2. bull's-eye (in a target). 3. see ruas.
rosario	(rel.) rosary.
rosbang	see resbang.
rosela	k.o. fiber used to make sacks and ropes.
roseng	see rongseng.
roset	1. roselike ornament. 2. see kayu1.
roskam	k.o. brush (for horses).
rosok	see rongsok.
rosot	1 slip off. 2 decline, sink.
roster	1. schedule of classes. 2. opening for ventilation.
rosul	see rasul.
rotan	rattan.
rotasi	(tech.) rotation.
roti	1 bread. 2 bun.
rotok	sound of repeated explosion.
rotor	(auto.) rotor.
rotsoi	lousy, rotten.
royak	1 spread. 2 worsen.
royal	extravagant, profligate.
royalis	royalist.
royalti	royalty.
royan	cramps.
royokan	(coll.) fight e.o. to obtain s.t.
royong	see gotong-royong.
rp.	[rupiah] rupiah.
rpa	[republik persatuan arab] united arab republic.
rph	[rumah potong hewan] slaughterhouse.
rpkad	[resimen pasukan komando angkatan darat] crack troops, strom troops.
rrc	/rr cina/ [republik rakyat cina] people's republic of china.
rri	[radio republik indonesia] indonesian broadcasting system.
rrt	[republik rakyat tiongkok] people's republic of china.
rs	[rumah sakit] hospital.
rsi	[rumah sakit islam] islamic-run hospital.
rsu	[rumah sakit umum] public hospital.
rsud	[rumah sakit umum daerah] regional public hospital.
rsup	[rumah sakit umum pusat] central hospital.
rsv	[republik sosialis vietnam] socialist republic of vietnam.
rt	[rukun tetangga] neighborhood association, the lowest adminitrative unit.
ru	1. 14.49 square meters. 2. see eru.
ru'yat	see rukyat.
rua	see ruak.
ruadat	ceremony, sign of respect.
ruah	(islam., coll.) eighth month of the year.
ruak	extensive.
ruam	skin eruption.
ruang	1 space. 2 (naut.) ship's well or water that gathers there. 3 column (in a paper, magazine). 4 room, hall.
ruap	scum, foam.
ruas	1 space between joints, internode. 2 (math.) parts of an equation.
ruat	1. shaky, undecided. 2. (java, sunda) exorcism ritual.
rubah	1. fox. 2. see ubah.
rubai	/rubayat/ (lit.) quatrain.
rubel	ruble, russian currency.
rubiah	(rel.) nun.
rubrik	1 heading. 2 column.
rubu	see raba.
rubuh	see roboh.
rubung	flow together in large quantities.
rucut	escape, glide loose.
rudal	[peluru kendali] guided missile.
rudin	impoverished.
rudu	1 stooping, bowed with age. 2 drooping, hanging down.
rudus	cutlass, machete.
ruet	see ruwet.
rugi	1 suffer a financial loss. 2 lose out.
rugos	lettering sheet (rubbed with pencil).
ruh	see roh.
ruhak	embers.
ruhani	see rohani.
ruhban	(rel.) monk, hermit.
ruhbanat	(rel.) nun.
ruit	1. bent, hook-shaped barb. 2. /ret, roit/ (crd.) diamond (suit).
rujah	me-rujah stab, poke at a fire.
rujak	k.o. fruit salad with pungent dressing. rujak-cingur vegetables or fruit salad with slices of beef snout.
ruji	1. trelliswork, grill. 2. radius. ruji-ligat (phys.) radius of gyration.
rujuk	1. 1) reconciliation. 2) be reconciled with o.'s separated wife before divorce is final. 2. reference.
