seta	(coll.) see hasta.
setabelan	(mil.) artillery.
setabil	see stabil.
setadion	see stadion.
setaf	see staf.
setagen	see stagen.
setahu	as far as o. knows.
setakar	of the same capacity.
setakat	up to (a point).
setakona	see astakona.
setala	see tala.
setalen	see talen.
setali	1. connected to e.o. 2. 25 cents, a quarter of a rupiah.
setamat	upon ending, as soon as it ended.
setambuk	see stambuk.
setambul	1. (jakarta) k.o. fez. 2. see stambul.
setan	1 (rel.) satan, devil. 2 s.o. evil.
setandar	see standar 1.
setanding	be equal to, be comparable to.
setang	see stang.
setangan	kerchief.
setangga	see tangga.
setanggi	incense, incense-stick.
setangkup	1 a cupped handful. 2 symmetrical.
setap	see staf.
setapak	1 a footstep. 2 o. palm's or sole's breadth.
setar	see star.
setara	1 be equal, equivalent. 2 made for e.o., suited.
setaraf	equal, equivalent, on a par.
setarter	see starter.
setasi	see stasi.
setasiun	/setasion/ 1 railway station, depot. 2 public transportation terminal.
setat	list, roll, statement.
setater	see starter.
setawar	k.o. medicinal plant.
seteger	1 (coll.) step-ladder. 2 scaffolding.
setek	cutting, slip of a plant.
seteker	see steker.
setel	1 set, suit (of clothes, cards, etc.). 2 match, be compatible. 3 (sl.) be stylish.
setelah	after.
setelan	1. set, suit of clothes. 2. radio dial, tuning knob, etc.
setelempap	as large as o.'s hand.
seteleng	exhibition.
seteling	see steling.
seteliti-telitinya	as careful as possible.
setem	1. vote. 2. tune, in tune.
seteman	voting.
setempat	1. local. 2 of the same place.
setempel	official stamp seal.
seten	(java) assistant to a district head.
setengah	1 half. setengah-jalan halfway. setengah-masak half-done. 2 some.
seter	see ster.
seterap	see setrap.
seterek	see sterek.
seterek-eser	(coll.) clothes iron.
setereng	see streng.
setereotip	see stereotip.
seteria	see kesatria.
seterik	see setrik 1.
seterika	iron, flatiron.
seterikaan	1 iron. 2 clothes for ironing.
seterimin	see strimin.
seterip	see setrip 1.
seterom	see setrum.
seteru	see setru.
seterum	see setrum.
seterup	see setrop.
setia	loyal, faithful. setia-kawan 1 solidarity. 2 be in solidarity with.
setiakawan	1 a loyal person. 2 faithful.
setiap	each and every.
setiar	(coll.) see ikhtiar.
setiba	upon arrival.
setidak-tidaknya	1 at the least. 2 in any case. 3 ignore. 4 abolish, cancel.
setik	stitch.
setikan	game of marbles.
setil	see stil.
setimbal	1 in balance, proportionate. 2 equitable, just.
setimbang	1 in balance. 2 in proportion.
setimpal	/setimbal/ 1 in balance, proportionate. 2 equitable, just.
setindak	one step. setindak-demi-setindak step by step.
setinggi-tinggi	no matter how high. setinggi-tingginya the highest possible.
setinggil	(java) audience hall.
setingkat	setingkat
setip	1. k.o. convulsive child disease. 2. eraser.
setir	steering wheel (of a motor-vehicle).
setiren	(coll.) drive a car.
setiwal	/setiwel/ leggings, puttee.
setolok	on the same footing.
setolop	see sentolop.
setonggok	a heap of.
setop	1. stop. 2. see setup.
setopan	stop (bus, streetcar).
setopeles	/setoples/ see stoples.
setor	deposited.
setoran	1 deposit. 2 rental fee (for taxi drivers, etc., who rent their vehicles). 3 stored commodity.
setori	1 (jakarta, coll.) quarrel, bicker. 2 (ambon) talk.
setoter	(coll.) stutter.
setrap	(coll.) punishment.
setrapan	1 punishment. 2 prisoner.
setrat	see strat.
setrek	see seterek-eser.
setrep	see setrip 1.
setrik	1. hair ribbon. 2. (coll.) strict.
setrika	see seterika.
setrip	1. 1) line. 2) decorative stripe. 3) stripe (insignia of rank). 4) slash (as a mark of punctuation). 5) (sport) straight (in golf). 2. (coll.) crazy.
setrop	fruit syrup for drinks.
setru	enemy, foe.
setrum	(elec.) electric current.
setu	(java) see restu.
setua	of the same age, as old as.
setubuh	1 (lit.) in harmony. 2 copulation.
setuden	see studen.
setuju	1 agree. 2 (coll.) like.
setujuan	1 of o. purpose. 2 having the same direction.
setulus-tulusnya	as sincerely as possible.
setum	steam.
setung	see restung.
setunggal	of o. k.o. quality.
setuntas-tuntasnya	as thoroughly as possible.
setup	k.o. fruit-stew.
seturi	see setori.
setyakawan	see setia.
seukur	in agreement.
seumbi	of one plant.
seumpama	1 like, equal. 2 supposing.
seumpamanya	for example, supposing.
seumur	of the same age. se-umur-an the same age.
seuntung-untungnya.	as profitable as possible.
seusai	after.
seusia	of the age of.
sewa	1 rent, hire. 2 rented.
sewah	see sewar.
sewajarnya	fittingly, properly.
sewaka	1. (lit.) tribute, homage. 2. see suaka 1.
sewaktu	when, at the time that.
sewaktu-waktu	1 from time to time. 2 at any time.
sewar	k.o. curved dagger.
sewenang-wenangnya	arbitraily, without compunction.
sewot	(java, jakarta) furious.
seyakin-yakinnya	absolutely convinced, as conviced as can be.
seyogyanya	properly, obviously.
seyot	see seok-seok.
sezarah	a bit.
sga	[sekolah guru atas] senior normal school.
sgb	[sekolah guru bawah] junior normal school.
sgkp	[sekolah guru kepandaian putri] school for training home economics teachers.
sh	[sarjana hukum] (acad.) master of law.
shalat	see solat.
shampo	see syampo.
she	/se/ see se.
shio	/sio, syo/ (china, zod.) any of the 12 astrological signs.
shodanco	/syodanco/ (japanese) section commander.
sholat	/solat/ see solat.
si	1.1) definite article used before the names of those with whom the speaker and interlocutor is intimate. 2) definite article used before a noun referring to a particular person in a category.
sia-sia	1 in vain, useless, without result. 2 meaningless.
siaga	1. ready, alert, prepared. 2. boy or girl scout (9-13 years old).
siah	siah-layah move from side to sidem oscillate.
siak	1. (islam) mosque caretaker. 2. see siah.
sial	1. be unlucky, unfortunate. 2 bad luck.
sialan	1 s.o. unfortunate, s.t. ill-fated. 2 s.o. or s.t. bringing bad luck. 3 damn it, exclamation of dissatisfaction.
sialang	1 beehive. 2 k.o. tree in which bees commonly build their nest.
sialat	see ciaklat.
siamang	1. gibbon. 2. (chem.) wolfram, tungsten.
siang	1. 1) day, daylight period. 2) period from about 11 a.m. to three p.m. 2. 1) weeded (of garden). 2) cleaned (of fish).
