alto	kb. 1 penyanyi dengan suara alto. 2 nada suara wanita yang terendah.
antecedent	kb., ks. kata atau bagian kalimat yang mendahului kata pengganti. in the phrase "the car which i bought", "car" is the a. dalam bagian kalimat "the car which i bought", "car" adalah kata yang mendahului..
antedate	kkt. 1 mendahului, terjadi lebih dulu. the automobile antedates the airplane mobil mendahului kapal terbang. 2 memberi tanggal lebih dulu daripada yang sebenarnya kepada kwitansi.
antediluvian	ks. kuno (sekali), sangat tua. i have an a. car mobil saya kuno sekali.
antelope	kb. semacam kujang bertanduk tanpa ranting.
antenna	kb. 1 antena (radio atau tv). 2 piarit, sungut-sungut serangga, kumis serangga (of insects).
antepenultimate	kb., ks. ketiga dari yang terakhir. the stress falls on the a. syllable tekanan jatuh pada sukukata yang ketiga dari yang terakhir.
anterior	ks. depan, lebih dahulu, muka.
anthem	kb. lagu/nyanyian gereja. national a. lagu kebangsaan.
anthology	kb. (j. -gies) bungarampai.
anthracite	kb. antrasit, batubara keras yang mengkilap.
anthropocentric	ks. anthroposentris.
anthropoid	kb. 1 yang menyerupai manusia. 2 kera besar tak berekor yang mirip manusia seperti oranghutan, gorila, simpanse dsb. --ks. yang menyerupai manusia.
anthropological	ks. yang berhubungan dengan anthropologi
anthropologist	kb. ahli anthropologi.
anthropology	kb. anthrolopologi
anthropometry	kb. anthropometri
anthropomorphic	ks. anthropomorphis
anti- aircraft	ks. a. gun penangkis serangan kapal udara.
anti- imperialist	kb. anti-imperialis.
anti-american	ks. bertentangan dengan kepentingan atau orang amerika.
anti-submarine	ks. melawan kapal-selam. a. warfare peperangan melawan kapal selam.
antibiotic	kb. antibiotika.
antibody	kb. (j. -dies) antibodi, zat dalam darah manusia yang membunuh atau melemahkan bakteri dan racun-racun lain.
anticipate	kkt. 1 mengharapkan. 2 mendahului 3 memenuhi lebih dahulu. 4 mengetahui lebih dulu, merasakan. 5 sangka.
anticipation	kb. 1 mengharapkan, menanti - nanti kan 2 mendahului 3 menunggu, menantikan. we stayed here in a. of his coming kami tinggal disini menunggu kedatangannya.
anticipatory	ks. yang (bersifat) lebih dulu. an a. investment investasi yang ditanam lebih dulu.
anticlimactic	ks. yang bersifat antiklimaks.
anticoagulant	kb. sesuatu yang mencegah pembekuan darah.
anticolonialism	anticolonialism
anticommunist	kb., ks. antikomunis.
antics	kb., j. kelakar, kejenakaan. we laughed at the clown's a. kita ketawa melihat kelakar pelawak itu.
antidote	kb. 1 penangkal (racun). what is good a. for that poison? apakah penangkal yang baik untuk racun itu? 2 pencegah. a boy's club can be a good a. to juvenile delinquency perkumpulan pemuda dapat menjadi pencegah yang baik terhadap soal crossboy.
antifreeze	kb. bahan antibeku.
antihistamine	kb. obat pencegah alergy, antihistamin.
antiklimax	kb. antiklimaks
antimony	kb. logam keputih-putihan yang rapuh untuk membuat obat dan untuk pengeras campuran logam.
antipathy	kb. (j. -thies) antipati. perasaan benci terhadap sesuatu atau seseorang.
antipodes	kb.,j. 1 antipoda, daerah-daerah diatas bumi yang berlawanan letaknya. 2 berlawanan, bertentangan.
antiquarian	ks. yang berhubungan dengan zaman kuno. a. bookshop toko buku yang menjual buku-buku kuno dan tua.
antiquary	kb. (j. -ries) orang yang mempelajari atau mengumpulkan barang-barang kuno
antiquated	ks. kuno. my house and car are a. rumah dan mobil saya sudah kuno.
antique	kb., ks. (barang) antik. that table is an a. meja itu barang antik. a. furniture perabot rumah model kuno. a. shop toko barang-barang antik.
antiquity	kb. zaman purbakala. --antiquities j. barang-barang zaman kuno dari zaman roma.
antiseptic	kb., ks. penangkal infeksi. iodine is an a. yodium adalah penangkal infeksi.
antisocial	ks. anti-sosial. a. behavior tingkah-laku anti-sosial.
antithesis	kb. lawan yang tepat.
antitoxin	kb. antitoksin, penolak bisa.
antitrust	ks. yang menentang penggabungan industri-industri. a. law undang-undang yang menentang penggabungan industri-industri.
antler	kb. angga, tanduk (rusa).
antonym	kb. kata lawan.
anus	kb. dubur, pelepasan.
anvil	kb. paron, landasan.
anxiety	kb. (j. -ties) 1 kegelisahan. a. is a symptom of our time. kegelisahan adalah suatu gejala zaman kita. 2 keinginan. his a. to succeed is praiseworthy keinginannya supaya berhasil patut dipuji
anxious	ks. 1 khawatir, cemas, gelisah. 2 mencemaskan. 3 (eager) menginginkan, ingin (sekali)
any	ks. 1 apa saja, yang mana saja, sembarang saja. 2 satu atau beberapa (dalam pertanyaan-pertanyaan).3 sedikit. 4 lagi. --kg. sesuatu.
anybody	kg. 1 siapa saja. a. who wishes may come to the meeting siapa saja yang ingin boleh datang ke rapat itu. 2 seseorang. will a. volunteer to go? adakah seseorang yang mau pergi dengan sukarela?
