sitar	see siter.
susuk	1. 1) small piece of gold or diamond inserted in the face as a magical charm to improve o.'s beauty. 2) pin, nail. 3) (med.) implant. 2. (java) surplus change after payment. 3. see sosok 2.
susukan	(java) channel between two rivers.
susulan	1 appendix, supplement. 2 continuation.
susun	1 stack, orderly pile. 2 row, series. 3 arranged in a stack.
susunan	1 composition, compilation. 2 formation, structure.
susur	1. edge, fringe, margin. 2. (java) quid of tobacco, often mixed with betel ingredients.
susuran	edge, margin, fringe.
susut	shrink, decrease.
susutan	reduction.
sut	flapping sound, sound of s.t. thin jerked rapidly.
sutan	1 title of minangkabau nobility above the rank of marah. 2 term of address to o. of this rank, us. as tan.
suten	see bersut.
sutera	silk.
sutil	(jakarta, java) frying spatula.
sutra	see sutera.
sutradara	film or play director.
sutuh	see sotoh.
suun	see sohun.
suvenir	souvenir.
suwar-suwir	(java) k.o. sweetmeat.
suwiran	shred.
suwukan	healing by blowing.
sw.	[subhanahu wa taala] (islam) the almighty and most worthy of praise, written after god's name.
swa-	self-, a prefix in formal neologisms.
swadaya	innate strength or effort, self-supporting.
