enjot, enjut	meng-enjut 1 push or pull with a jerk. 2 pedal (a bicycle, etc.).
ensiklik	(rel.) encyclical.
ensiklopedi	encyclopedia.
ensim	/ensima/ enzyme.
ensopor	(coll.) et cetera.
entah	who knows, i do not know. entah-berentah fabled, imaginary.
entah-berentah	see entah.
entak	meng-entak 1 stamp on with force. 2 thrust, stab. 3 pound, throb as if being stamped on.
entar	(jakarta) later.
entas	meng-entas take or pull s.t. out. meng-entas-kan raise achild to adulthood so that it becomes s.t.
ente	(jakarta and among arabs) you.
enten	meng-enten graft, implant.
enteng	1 light (in weight), 2 light (feelings, etc.). 3 easy, inconsequential. 4 mild (of cigarrettes, etc.).
enternit	see eternit.
entimun	see mentimun.
entit	(java) ng-entit steal (small and trivial objects).
entog	(java) manuila duck.
entomolog	entomologist.
entomologi	entomology.
entomologis	entomological.
entot	(vulg.) (me)ng-entot fuck, screw.
entri	entry (in dictionary, etc.).
entrog	meng-(entrog-entrog) shake.
enyah	go away, get out.
enyak	meng-enyak tread on, step on, press, stamp. te(pe)r-enyak fall back with thud (in a chair etc.).
enyek	(java) answer in a mocking way.
enzim,enzima	see ensim.
epak	see pak 1.
epek	(coll.) belt.
epidemi	epidemic.
epidemiologi	epidemiology.
epigrafi	epigraphy.
epik	epic.
epilepsi	epilepsy.
episentrum	epicenter.
episode	episode.
epistemologi	epistemology.
epok	k.o. plaited bag to hold ingredients for betel chewing.
epolet	epaulette.
epos	epic.
era	era.
erak	screeching sound.
eram	meng-eram 1 hatch, brood. 2 crouch on all fours (as of water buffalo in pond, tiger set to pounce on prey, etc.). 3 brood.
erang	groaning, moaning from pain.
erang-erot	zig-zag, askew, awry.
erat	1 tight, firm. 2 firm (of promise, etc.). 3 close (of relationship).
ercis	peas.
ereng	see reng.
eret	meng-eret 1 drag, pull. 2 snate, lure, take in s.o.
eretan	sleigh, sledge.
erik	meng-erik scream, shout, trumpet (of elephant).
ering	k.o. bird of prey.
erloji	see arloji.
erobik	1 aerobic. 2 exercise.
erong	lubang-erong (naut.) scupperhole.
eropa,eropah	europe, european.
eropanisasi	europeanization.
erosi	erosion.
