padri	see paderi.
pelanan	slower, more slowly.
pelancong	tourist, sight-seer.
pelanduk	mouse deer.
pelanel	flanel.
pelang	see plang.
pelanggaran	1 infraction, violation (of a rule, law). 2 trespass. 3 infringement (on a patent).
pelangi	rainbow.
pelangki	/pelangkin/ palanquin.
pelangkin	tar, pitch.
pelantak	1 piston rod. 2 ramrod. 3 ram, jackhammer.
pelantar	platform.
pelantaran	1 unroofed platform attached to house. 2 long bench. 3 scaffolding.
pelanting	roll everywhere.
pelapah	see pelepah.
pelapor	1reporting. 2 commentary.
pelapukan	1 weathering. 2 corrosion.
pelas	tie ropes together.
pelastik	see plastik.
pelasuh	lazy person.
pelat	1 metal sheet. 2 license plate. 3 (coll.) phonograph record. /pe`lat/ 1 speech defect. 2 speak with an accent.
pelata	mackerel.
pelatah	see latah 1.
pelatnas	[pemusatan latihan national] centralization of national training (for sports).
pelatuk	1 woodpecker. 2 trigger.
pelawak	comedian, jokester.
pelayan	1 waiter, waitress. 2 sales clerk. 3 attendant.
pelayat	o. who pays his respects to the family of the deceased.
pelayatan	condolence visit.
pelbagai	various, all sorts of. see bagai.
pelbak	refuse bin.
pelbed	/pelbet/ see felbet.
pelbegu	pagan, animist.
pelda	[pembantu letnan dua] lower second lieutenant.
pelebaya	see pelabaya.
peleceh	flatterer.
pelecehan	act of despising, insulting.
pelecok	sprained.
peledakan	explosion.
pelek	/pele`k/ see plek. /pe`lek/ rim of wheel.
pelekat	see plakat. /pele`kat/ sarong with plaid pattern.
pelekok	twisted.
pelekuh	crooked.
pelembungan	(java) 1 balloon. 2 blown up gizzard.
pelembutan	softening, toning down.
pelempap	breadth of the hand.
pelemparan	1throwing, hurling. 2 ejection.
pelencit	1 being pressed. 2 be projected by being filiped.
pelengak	(jakarta) surprised.
pelengan	(anat., jakarta) temples.
pelengkap	1 complement. 2 supplement.
pelengsong	(jakarta) deviate.
pelepah	stem and midrib of palm, banana leaves, stem of the banana bunch.
peler	see pelir.
pelerai	1 o. who moderates. 2 o. who breaks up fights.
peleraian	1 separation . 2 (mil.) disengagement.
peles	see ples.
pelesapan	deletion.
pelesat	dart away.
peleset	see leset.
pelesir	1 take a trip. 2 go out for pleasure. 3 pleasure, amusement.
pelesit	1 locust. 2 a spirit that sucks blood of unborn or newborn children.
pelestarian	1 perpetuation. 2 preservation, conservation.
pelet	k.o. magic whereby a person is made to fall in love.
peletak-peletik	make high-pitched knocking noise.
peletak-peletok	make a knocking noise.
peleton	platoon.
pelihara	1 take care of, protect. 2 raise, rear. 3 keep, maintain.
peliharaan	1 things to be protected, cared for . 2 mistress. 3 pet, inmate (of zoo).
pelik	1 peculiar, remarkable. 2 complicated.
pelikan	1. mineral. 2. pelican.
pelikat	see pelekat.
peliket	(java, jakarta) sticky.
pelimbahan	garbage dump, junkyard.
pelincir	lubricant.
pelinggam	colored marble.
pelintang	(java) catapult.
pelintat-pelintut	see plin-plan.
pelintir	twist.
pelipir	edge.
pelipis	/pelipisan/ (anat.) temples.
pelipit	hem.
