menguntir	twist.
menyediakan	1 prepare. 2 set aside (food, funds, etc.) in preparation. 3 equip, supply, make available.
menyedot	1 suck. 2 inhale, sip from.
menyejukkan	cool s.t.
menyeka	rub, wipe, polish.
menyekam	shut in, repress.
menyekir	sand s.t., grind.
menyekutui	joint, ally o.s.
menyekutukan	1. consider as an ally. 2. provide forces as an ally.
menyelak	insist.
menyelakkan	1. open (o.'s shirt, etc.). 2. reveal.
menyelam	1 dive. 2 be under water.
menyelamatkan	1 save, rescue. 2 bury.
menyelamkan	1 convert s.o. to islam. 2 circumcise.
menyelang	1 interrupt, intercede. 2 alternate two things. 3. lend.
menyelapi	take possession of (of a spirit).
menyelapkan	arouse o.'s fury.
menyelaputi	from a thin layer around s.t., coat.
