split	kb. 1 robek, sobek (in clothing). 2 keretakan (in furniture, a group). 3 sl.: pembagian (of the profits). 4 gerak mengangkang. -ks. retak, belah (wall). -kkt. (split) 1 membelah (wood). 2 membagi. 3 fin.: menambah (stock). 4 memisahkan.
splitting	kb. pemiosahan/pemecahan (of the atom). ks. berat sekali. s. headache sakit kepala serasa mau pecah.
splotch	kb. percikan (of ink).
splotchy	ksd. berbercak-bercak, bernoda.
splurge	kb. pembelian secara royal. to go on a s. berbelanja secara royal. -kki. berbelanja royal-royalan, beroyal-royal dengan.
splutter	kb. bunyi getaran/repetan (of a motor). -kki. 1 berbicara dengan gugup. 2 bergetar, merepet (of an engine).
spoil	kb. spoils j. barang rampasan (of war). -kkt. (spoiled atau spoilt) 1 memanjakan (a child). 2 mengganggu (o's day). 3 (ruin) membuang-buang. 4 merusak, membuat busuk (food). -kki. busuk, basi (of food). -spoiled, spoilt ks. manja, alem(of a child).
spoilsport	kb. perusak permainan.
spoilt	lih spoil.
spoke	kb. jari-jari, ruji.
spoke(n)	lih speak.
spokesman	kb. (j. -men) jurubicara, jubir.
sponge	kb. 1 bunga karang, sepon. s. rubber karet sepon. 2 bolu. s. cake bolu, bolukukus. -kkt. 1 menggosok (a car, abody). 2 inf.: mengemis, mengorek (money) (off dari).
sponger	kb. inf.: orang yang hidup atas biaya orang lain, tukang bonceng.
spongy	ks. seperti bunga karang, seperti sepon.
sponsor	kb. sponsor, penyokong, yang membiayai. -kkt. 1 mensponsori. 2 membiayai, mengongkosi.
sponsorship	kb. usaha, sokongan. under the s. of atas usaha.
spontaneity	kb. (j. -ties) spontanitas.
spontaneous	ks. secara spontan, tanpa diminta-minta. -spontaneously kk. secara spontan.
spoof	kb. inf.: lelucon. -kkt. membuat lelucon mengenai.
spook	kb. hantu.
spookish	ks. 1 yang berhantu (building). 2 ngeri (feeling).
spooky	ks. menyeramkan, menakutkan.
spool	kb. gelendong, kili-kili, kumparan. a s. thread segelendong benang.
spoon	kb. sendok. serving s. sendok gulai/nasi.
spoon-feed	to spoon-feed 1 menyuapi (a baby). 2 memanjakan (o's pupils). spoon-fed ks. manja, didulang.
spoonful	kb. sesendok penuh.
sporadic	ks. sekali-sekali, jarang-jarang, sporadis. -sporadically kk. dengan sporadis.
spore	kb. sepura.
sport	kb. 1 olahraga, sport. -sports j. olahraga, keolahragaan.
sportscast	kb. berita olah raga.
sportscaster	kb. penyiar berita olah raga.
sportsman	kb. (j. -men) olahragawan.
sportsmanlike	ks. sportif
sportsmanship	kb. sikap sportif.
sportswear	kb. pakaian olahraga.
sportswoman	kb. (j. -women) olahragawati.
sportwriter	kb. wartawan olahraga.
sporty	ks. yang menyolok (car, clothes). -sportily kk. secara menyolok.
spot	kb. noda, selekeh (on o's clothing). 2 bintik. 3 tempat. 4 sedikit. 5 beruntusan (on skin). -spotted ks. berbintik, ber(tutul). s. cat kucing tutul. s. fever penyakit demam yang menimbulkan bintik-bintik pada kulit.
spotlesness	kb. kerapian, keadaan tak bercacat/bernoda.
spotless	ks. bersih, tak bernoda.
