glos	(ling.) gloss.
hiansay	(china) son-in law.
hias	ber-hias 1 be decorated, adorned. 2 dress o.s., groom o.s.
hiatus	hiatus.
hiba	see iba.
hibah	bequest, grant (from foundation, etc.).
hibernasi	hibernation.
hibrida	hybrid.
hibuk	see sibuk.
hibur	1 comfort, cheer up, divert. 2 entertain.
hiburan	1 consolation, solace, comfort. 2 entertainment.
hidam	see idam.
hidang	meng-hidang-kan 1 serve (food, drink). 2 present (entertainment, etc.).
hidap	see idap.
hidayah	/hidayat/ (god's) guidance.
hidmat	see khidmat.
hidrat	(chem.) hydrate.
hidrogen	hydrogen.
hidrolik	hydraulic.
hidrolisis	hydrolysis.
hidrolistrik	hydroelectric.
hidrologi	hydrology.
hidrologis	hydrological.
hidu	meng-hidu sniff in, inhale.
hidung	nose.
hidup	1 be alive, live. 2 life. 3 fresh. 4 (coll.) run, go, esp. of machines. 5 long live ! 6 (ling.) prevocalic (of consonants).
hierarki	see hirarki.
higiene	hygiene.
higienis	hygienic.
hih	ugh ! (exclamation of distaste, disgust).
hihi	sound of twittering and giggling.
hii	/hiih/ (china) oh ! (exclamation of terror).
hijarah	(islam) flight of muh. from mecca to medina.
hijau	1 green, verdant. 2 inexperienced.
hijriah	of the islam calendar.
hikayat	1 tale, story, romance. 2 history, account.
hikmah	/hikmat/ 1 wisdom, philosophy. 2 magical power. 3 power in general.
hikwan	(china) fish balls.
hilang	1 be lost, vanish. 2 pass away, die.
hilap	see khilaf.
hilat	see helah.
hilir	lower course, downstream. meng-hilir-mudikkan steer, lead by the nose.
himar	zebra.
himbau	see imbau.
himmah	/himmat/ see hemat 1,2.
himne	a solemn song, often the antherm of an organization.
himpitan	1 be very close together. 2 (math.) coincide.
himpun	assemble, gather.
himpunan	1 association, club. 2 collection, compilation.
hina	contemptible.
hinaan	1 insult, indignity, affront. 2 taunt, gibe .
hinai	see inai.
hindar	1 pull to o. side. 2 avoid (a blow, etc.).
hindia	(lit.) indies.
hindu	see induk.
hinduisasi	hinduization.
hingar	noisy. ke-hingar-bingaran boisterousness.
hingga	until, up to. ber-hingga limited, finite.
hinggap	1 perch, alight. 2 attack (of disease, infection, etc.).
hintai	see intai.
hio	(china) joss stick.
hiolo	(china) incense burner.
hioswa	see hio.
hiperbole	hyperbole.
hiperbolisme	hyperbolism.
hipertensi	hypertension.
hipis	1 young western traveler on a low budget. 2 a style of western-influenced grooming characterized by unkempt hair and clothing.
