cio	(congress of industrial organization) kongres organisasi industri
cogent	ks. yang meyakinkan, kuat. to present c. arguments in favor of plan memberikan alasan-alasan yang meyakinkan untuk kepentingan suatu rencana.
cogitate	kkt. merenungkan. she cogitated the past celebration ia merenungkan perayaan yang telah lewat. -kki. memikir. to c. over/upon memikirkan.
cogitation	kb. renungan, kenangan.
cognac	kb. konyak.
cognate	kb. sanak. -ks. yang asalnya sama. c. languages bahasa-bahasa yang sama asalnya.
cognation	kb. hubungan darah atau keturunan.
cognition	kb. kesadaran, pengertian.
cognizance	kb. 1 pengetahuan. he did that with the c. of his superiors ia melakukan hal itu dengan pengetahuan atasannya. 2 tanggung jawab. he has c. over two hundred men ia mempunyai tanggung jawab atas duaratus orang.
cognizant	kb. sadar, mengetahui. he in c. of the serious situation ia sadar akan keadaan yang gawat.
cogwheel	kb. roda gigi.
cohabit	kki. tinggal bersama sebagai suami-isteri.
cohabitation	kb. hidup bersama sebagai laki isteri.
cohere	kki. berkumpul bersama, melengket/melekat satu sama lain.
coherence	kb. pertalian, hubungan. some c. is essential in such a system satu pertalian perlu dalam sistim yang demikian itu. sekedar hubungan perlu dalam sistim seperti itu.
coherency	kb. (j. -cies) = coherence.
coherent	ks. 1 masuk akal, bertalian secara logis. 2 saling berlengketan.
cohesion	kb. kohesi, kepaduan.
cohesive	ks. bersatu, berpadu. c. group kumpulan orang yang bersatupadu.
cohesiveness	kb. kepaduan.
cohort	kb. 1 pengikut. 2 kelompok.
coiffeur	kb. pemangkas rambut (untuk wanita).
coiffure	kb. potongan rambut.
coil	kb. 1 gulungan. 2 gulung. -kki. 1 bergelung, berlingkar. 2 membelitkan diri. 3 berliku-liku. to c. up menggulung. -coiled ks. bergelung (of a snake, hair).
coin	kb. 1 ( mata) uang logam. 2 mata uang. -kkt. membikin, mencipta. to c. money 1 mencetak uang logam. 2 menjadi kaya. coin operated ks. yang digerakkan/dijalankan dengan memasukkan uang logam.
coinage	kb. 1 pembuatan uang logam. 2 penciptaan. c. of new words penciptaan/pembuatan kata-kata baru.
coincide	kki. 1 bertepatan. our arrival coincided perfectly with the meeting kedatangan kami bertepatan benar dengn rapat itu. 2 serupa. their views coincided pandangan-pandangan mereka serupa.
coincidence	kb. kejadian yang kebetulan. their coming was wuite a c. kedatangan mereka memang hal yang kebetulan sekali.
