jentik	jentik-jentik mosquito larva.
juragan	1 skipper (of small craft). 2 owner of an enterprise. 3 (in some regions only) respectful address by villager to man of nobility or higher class.
jurai	1 bunch. 2 row, sequence. ber-, ter-, men- dangle, hang down (of hair, tassels, etc.). ber-jurai-an hang down (in large numbers).
juran	see joran.
jurang	ravine, gorge, chasm. jurang-kenistaan the depths of misery. jurang-pemisah gap. jurang-juriat generation gap.
juri	(leg.) jury. men-juri be amember of the jury in a competition. pen-juri-an judging a case by a jury.
juriat	see zuriat.
juridiksi	see yyuridiksi.
juridis	see yuridis.
jurik	k.o. supernatural being.
juring,juringan	section, segment (of fruit).
juris	see yuris.
jurisprudensi	see yurisprudensi.
jurnalis	journalist, reporter.
jurnalistik	jurnalism.
juru	skilled worker. juru-bicara spokesman, spokeswoman. juru-damai peacekeeper, peacemaker. ke-juru-rawatan nursing.
jurus	1. step, movements in martial arts. 2. moment.
jus	1. sound of steam locomotive. 2. (tennis) deuce. 3. juice. men-jus make a drink out of. 4. see juz.
justa	see dusta.
justru	exactly, precisely.
juta	million. ber-(juta-juta) by the millions.
jutawan	millionaire.
juwang	see juang.
juz	(islam) section of the koran.
k	k, the 11th letter of the alphabet.
k.	[kaca] page.
k.s.	[kredit semester) (acad.) semester credit.
ka	see kah.
ka.	[kepala] head, chief.
kaabah	see kabah.
kab.	[kabupaten] regency (administrative unit].
kaba	(m) tale, story.
kabag	[kepala bagian] administrative section head.
kabah	1. (islam) the small cubicle shrine in the great mosque of mecca which contains the famous black stone of mecca. it represents the direction (kiblah) to which muslims turn in praying. 2. symbol of the islam political party.
kabal	see kebal.
kabar	news, report.
kabaret	1. (coll.) beret. 2. see malam 1.
kabarnya	kabarnya
kabat	see kebat.
kabe	see kb.
kabel	cable.
kabil	(islam) cain, abel's brother.
kabilah	nomadic tribe.
kabin	1. (naut.) cabin. kabin-pengemudi (av.) cockpit. 2. cream crackers.
kabinet	1 governmental cabinet. 2 cabinet (for medicine, etc.).
kabir	1. mighty (of god). 2. meng-kabir reverse the direction of a boat by paddling perpendicular to the hull.
kabisah	/kabisat/ leap year.
kabit	thief, pickpocket.
kabriolet	(auto.) convertible.
kabu-kabu	1 kapok. 2 fluffy material like kapok. ber-kabu-kabu fluffy, downy, cottony.
kabul	answered, granted (of a prayer, request).
kabuli	see nasi 1.
kabung	white mourning headband.
kabupaten	1 regency, area headed by a bupati. 2 residence or office of the bupati.
kabur	1. 1) hazy (view), vague, blurred, clouded (vision). 2) fading (of hopes), unclear (of handwriting, speech, etc.). 3) haze. 2. 1) bolt (of a horse). 2) run off, flee.
kabus	nebulous.
kabut	1. mist, haze, fog. 1) sprayer. 2) atomizer. 3) carburetor. 2. see kebut 2.
kaca	1. 1) glass. 2) mirror. 3) example. 2. page (of book, etc.).
kacak	1. 1) dashing, robust, vigorous. 2) conceited. 2. meng-kacak determine the weight or size of s.t. by holding it in the hand.
kacang	pea, bean, peanut. kacang-asin salted peanuts. kacang-buncis green beans. kacang kapri peas. kacang kedelai soybean. kacang-mede/mende cashew. kacang merah kidney bean.
kacapiring	gardenia.
kacapuri	main building of a palace.
kacar	line used to fish for squid and cuttlefish.
kacau	1 in disorder, in an uproar. 2 confused (mind, situation). 3 in disarray. kacau-balau/bilau chaotic, disorganized, in total confusion.
kacek	different, dissimilar.
kaci	k.o. white cotton cloth from india.
kacip	1 scissors used primarily for cutting areca nut. 2 gardening scissors.
kacir	see kucar-kacir.
kaco	see ngaco.
